1  number of sets, Nset
-----------------
#1  Blade structural data for HAWC2/HAWCStab2
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
arc                       m_pm                      x_cg                      y_cg                      ri_x                      ri_y                      x_sc                      y_sc                      E                         G                         I_x                       I_y                       I_T                       k_x                       k_y                       A                         theta_s                   x_ec                      y_ec                      
========================================================================================================================================================================================================================================================================================================================================================================================================================================================================
$1  83 Flexible
4.594700000000E+01        2.219965700140E+02        1.039545819440E-01        2.813087223292E-02        2.879438368300E-01        8.461284676733E-01        5.507612386044E-01        9.854512583281E-02        2.264274489894E+10        3.194738806410E+09        9.081407444377E-03        7.976374297475E-02        1.222859282384E-02        5.281557110476E-01        1.348957565609E-01        2.631581192994E-01        -1.875233983899E+00       3.095126174176E-01        6.159760938723E-03       
4.700000000000E+01        2.146217806980E+02        9.947079073554E-02        2.826764295818E-02        2.779703434352E-01        8.313526778283E-01        5.577359547163E-01        9.751734948444E-02        2.265992061403E+10        3.207088813057E+09        8.180183693252E-03        7.433961572032E-02        1.080386639280E-02        5.288562358792E-01        1.319361644093E-01        2.536526892323E-01        -1.866703383294E+00       3.012697868035E-01        7.213467871738E-03       
4.794700000000E+01        2.100136278240E+02        9.524654910377E-02        2.821271958320E-02        2.694515406741E-01        8.179569284093E-01        5.440868477629E-01        9.740977101318E-02        2.254140389397E+10        3.219604995695E+09        7.506256566464E-03        7.061753346905E-02        1.005650044579E-02        5.359378664294E-01        1.308036539964E-01        2.473855070984E-01        -1.863875850829E+00       2.928234828798E-01        8.172974049469E-03       
4.900000000000E+01        2.027682824880E+02        8.982686410572E-02        2.827142653067E-02        2.600928569681E-01        8.039407418795E-01        5.321594885946E-01        9.821956765136E-02        2.254418925583E+10        3.231721428575E+09        6.752325408384E-03        6.582088714000E-02        9.054711424437E-03        5.384674133079E-01        1.293555676893E-01        2.381094911427E-01        -1.852595056812E+00       2.841351035544E-01        9.115983492509E-03       
5.000000000000E+01        1.971721181860E+02        8.618459636149E-02        2.748919475814E-02        2.516325012133E-01        7.899844600327E-01        5.229617554830E-01        9.354483854860E-02        2.211724354853E+10        3.213577252389E+09        6.175468815262E-03        6.281541751907E-02        8.345293460453E-03        5.418695139586E-01        1.280765029982E-01        2.325618162817E-01        -1.988383014126E+00       2.734466858762E-01        6.769689896827E-03       
5.100000000000E+01        1.912544133980E+02        8.273800347483E-02        2.878413370725E-02        2.432886904249E-01        7.759568621418E-01        5.118259291239E-01        9.350840338528E-02        2.185527234196E+10        3.197697058693E+09        5.635050003636E-03        5.938166702017E-02        7.577984024462E-03        5.414654579135E-01        1.264034050574E-01        2.264084870496E-01        -1.962095127029E+00       2.651348654972E-01        8.099879047435E-03       
5.200000000000E+01        1.845274312770E+02        8.025484706428E-02        3.009152532555E-02        2.355771232522E-01        7.616935747505E-01        5.003582746565E-01        9.447589899309E-02        2.159784780372E+10        3.159528074797E+09        5.153721989791E-03        5.586849739476E-02        6.837322718414E-03        5.383456406394E-01        1.252257538167E-01        2.201116325165E-01        -1.940749333098E+00       2.578878109636E-01        9.306267310456E-03       
5.300000000000E+01        1.748382634660E+02        9.752290690256E-02        2.727477243411E-02        2.298115177996E-01        7.428061370859E-01        5.052877388504E-01        7.388873902754E-02        2.152099288771E+10        3.035513581863E+09        4.685903813260E-03        5.168169671484E-02        6.283860436267E-03        5.231134125796E-01        1.265548255766E-01        2.123982940639E-01        -1.881377962169E+00       2.576049089076E-01        7.948278190024E-03       
5.394700000000E+01        1.629947497130E+02        1.206906166281E-01        2.265260236653E-02        2.248594572766E-01        7.241804850782E-01        5.161658801727E-01        3.756522196895E-02        2.125021810573E+10        2.841944260214E+09        4.306166846892E-03        4.749396911574E-02        5.859158046449E-03        4.909785154200E-01        1.333241874039E-01        2.052760394762E-01        -1.658806372802E+00       2.606640574783E-01        8.931439061090E-03       
5.500000000000E+01        1.594594885180E+02        1.164574606685E-01        2.397671444474E-02        2.167081009570E-01        7.100453534856E-01        5.148172488349E-01        3.715556308695E-02        2.089622679846E+10        2.846817119671E+09        3.922010118834E-03        4.519895049508E-02        5.223442409096E-03        4.915445472151E-01        1.253251738421E-01        2.007418677294E-01        -1.640426934435E+00       2.506112148815E-01        9.961473379434E-03       
